,Message Body,Message Title,Sent On,NOTIFICATION,INCIDENT / CLERY 1,INCIDENT / CLERY 2,LOC_D,DES1_D,DES2_D,PV_D,PS_D,LOC_S,DES1_S,DES2_S,PV_S,PS_S,LOC_C,DES1_C,DES2_C,PV_C,PS_C,LOC_E,DES1_E,DES2_E,PV_E,PS_E
11,"Community Advisory: 
 
 
   The first Cal football game is this weekend. Let's keep our social gatherings enjoyable for everyone: Practice consent and interrupt unhealthy behavior before it escalates. 
 Get Consent, Respect Boundaries: Practice affirmative consent at all times. Practice acceptance of your own and others’ boundaries. Consent requires an affirmative, conscious, voluntary, and ongoing agreement from each person to engage in every activity, which is always revocable. Alcohol and other substances can impact the ability to give consent. 
 Be Yourself: As you are navigating spaces, think about the choices you are making. You have individual choice and identity; you don’t have to conform to social pressure. 
 The MyVoice Survey shows that: 85% of UC Berkeley",Community Advisory - Get Consent and Respect Boundaries,"Sep 03, 2021 15:18:39 PDT",Community Advisory ,None,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,Safety Instructions / Tips,none,none,,,,,,,,,,
12,"Please note this message may contain information that some may find upsetting. 
 On 09-07-2021 23:25:00, a robbery occurred at Dwight Way and Benvenue Ave. 
 On 09/07/21 at approximately 2325 hours, a robbery occurred at the intersection of Dwight Way and Benvenue Ave. 
 Two male suspects approached the female victim, took her purse and wallet, and fled southbound on Benvenue, and westbound on Parker St. 
 BPD Case Number: 21-40865",Violent Crime Reported at Dwight Way and Benvenue Ave - Please note this message may contain information that some may find upsetting.,"Sep 07, 2021 23:54:50 PDT",Timely Warning ,Robbery,None,Intersection,Reconstructed Scenario,none,"Gender, No Race","Gender, No Race",Intersection,Reconstructed Scenario,Memorable detail,"Gender, No Race","Gender, No Race",,,,,,,,,,
13,"Please note this message may contain information that some may find upsetting. 
 On 09-07-2021 23:30:00, an aggravated assault occurred at People's Park bathroom. 
 On 09/07/21 at approximately 2330 hours, a female was assaulted by a female suspect using a stick as a weapon. The assault took place in the People's Park Bathrooms. 
 UCPD Case Number: 21-01272",Violent Crime Reported at People's Park bathroom - Please note this message may contain information that some may find upsetting.,"Sep 08, 2021 04:23:21 PDT",Timely Warning ,Aggravated Assault,None,Block,Touch ,People's Park,"Gender, No Race","Gender, No Race",Address / Specific Named,People's Park,Memorable detail,"Gender, No Race","Gender, No Race",,,,,,,,,,
14,"Please note this message may contain information that some may find upsetting. 
 On 09-23-2021 20:26:00, an aggravated assault occurred at 2350 block of Dana Street. 
 UC Berkeley student was punched and then chased in an unprovoked assault while walking in the 2350 block of Dana Street in Berkeley. UCPD case #21-01428",Violent Crime Reported at 2350 block of Dana Street - Please note this message may contain information that some may find upsetting.,"Sep 23, 2021 23:07:02 PDT",Timely Warning ,Aggravated Assault,None,Block,Touch ,Reconstructed Scenario,none,none,Block,Touch ,Reconstructed Scenario,"No Race, Gender Neutral",none,,,,,,,,,,
15,"Please note this message may contain information that some may find upsetting. 
 On 09-17-2021 16:45:00, an aggravated assault occurred at Area of Haas Pavilion. 
 Assault in the area of Haas Pavilion",Violent Crime Reported at Area of Haas Pavilion - Please note this message may contain information that some may find upsetting.,"Sep 17, 2021 18:57:18 PDT",Timely Warning ,Aggravated Assault,None,Address / Specific Named,Touch ,none,none,none,Radius / Area,none,none,none,none,,,,,,,,,,
16,"Please note this message may contain information that some may find upsetting. 
 On 09-26-2021 17:16:00, a burglary occurred at Zellerbach Hall. 
 Burglary - Zellerbach Hall occurred sometime between Friday through Sunday.",Burglary at Zellerbach Hall,"Sep 26, 2021 18:26:55 PDT",Timely Warning ,Burglary,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,,,,,,,,,,
17,"UPDATE: Zellerbach Hall burglary suspects arrested. 
 UCPD officers arrested two suspects connected to multiple burglary cases.
 Both suspects were charged with 4 counts of burglary.",Community Message - SUSPECTS CHARGED WITH BURGLARY SERIES,"Sep 30, 2021 15:27:38 PDT",Timely Warning ,Burglary,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral",,,,,,,,,,
18,"Please note this message may contain information that some may find upsetting. 
 On 10-02-2021 15:41:00, an aggravated assault occurred at People's Park. 
 Victim reported being hit in the head by a metal pipe and fist. Suspect fled the area.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Oct 02, 2021 18:46:41 PDT",Timely Warning ,Aggravated Assault,None,Block,Touch ,People's Park,none,none,Address / Specific Named,People's Park,Memorable detail,"No Race, Gender Neutral",none,,,,,,,,,,
19,"Please note this message may contain information that some may find upsetting. 
 On 10-03-2021 01:10:00, a robbery occurred at 2439 Durant Ave. 
 On 10/3/21 at approximately 0110 hours, an attempted robbery via threats occurred in front of Kip's Bar and Grill at 2439 Durant Ave. Four to five male suspects and one female suspect approached the victim demanded his personal property. The victim was able to retain his property and called police. The suspects left the area on foot.",Violent Crime Reported at 2439 Durant Ave - Please note this message may contain information that some may find upsetting.,"Oct 03, 2021 01:28:44 PDT",Timely Warning ,Robbery,None,Address / Specific Named,none,none,"Gender, No Race","Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Gender, No Race",,,,,,,,,,
20,Be advised the generator testing is complete. ALL CLEAR,Community Message - Generator testing all clear,"Oct 05, 2021 02:58:04 PDT",All Clear,Incident: Environmental / Weather,None,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
